dataset	signature	seed	product_rf_f1-micro	single_manifold_rf_f1-micro	sklearn_rf_f1-micro	tangent_rf_f1-micro	product_rf_f1-macro	single_manifold_rf_f1-macro	sklearn_rf_f1-macro	tangent_rf_f1-macro	product_rf_accuracy	single_manifold_rf_accuracy	sklearn_rf_accuracy	tangent_rf_accuracy	product_rf_time	single_manifold_rf_time	sklearn_rf_time	tangent_rf_time
gaussian	S4	501	0.385	0.43	0.365	0.41	0.15393836241327713	0.2871994635214609	0.15503296146044623	0.17425971254628758	0.385	0.43	0.365	0.41	0.09551811218261719	4.9037981033325195	0.032369136810302734	0.034334421157836914
gaussian	S4	502	0.39	0.43	0.42	0.33	0.25145974468637566	0.3933818822023047	0.2952739617627258	0.26063855390725155	0.39	0.43	0.42	0.33	0.10474896430969238	4.576509475708008	0.03388261795043945	0.033563852310180664
gaussian	S4	503	0.385	0.41	0.42	0.35	0.2345388938464025	0.33633853606493824	0.28256598326852833	0.2161641179043461	0.385	0.41	0.42	0.35	0.10389065742492676	4.936392784118652	0.032701969146728516	0.0348515510559082
gaussian	S4	504	0.42	0.385	0.34	0.43	0.23451644425182971	0.33672594062062755	0.14601882833054264	0.24721926393851867	0.42	0.385	0.34	0.43	0.0992422103881836	5.463580846786499	0.03246784210205078	0.03364682197570801
gaussian	S4	505	0.415	0.42	0.365	0.325	0.2683116390264568	0.3543001836964359	0.2172012269573245	0.18682066362081995	0.415	0.42	0.365	0.325	0.09116554260253906	4.600416660308838	0.033193111419677734	0.03639054298400879
gaussian	S4	506	0.385	0.45	0.45	0.345	0.23776097670250895	0.3316077902377094	0.3163051030668215	0.2591999602922854	0.385	0.45	0.45	0.345	0.1010429859161377	4.607879638671875	0.03375816345214844	0.034780025482177734
gaussian	S4	507	0.585	0.56	0.52	0.325	0.37861839006347847	0.45913821730640514	0.32147115682005467	0.1706118321166365	0.585	0.56	0.52	0.325	0.10351920127868652	3.760497570037842	0.03302001953125	0.03379058837890625
gaussian	S4	508	0.35	0.45	0.36	0.345	0.23580319312087736	0.42435969235364396	0.21364887972439459	0.21099923092364908	0.35	0.45	0.36	0.345	0.10091137886047363	4.910194396972656	0.03240776062011719	0.035089731216430664
gaussian	S4	509	0.435	0.47	0.405	0.42	0.2513318203535595	0.39129009861058456	0.2633639531473641	0.32011686748478707	0.435	0.47	0.405	0.42	0.10470294952392578	4.5885162353515625	0.032970428466796875	0.03404736518859863
gaussian	S4	510	0.4	0.43	0.395	0.31	0.3374520045831521	0.38057254658828865	0.30698761291062415	0.20105795418412065	0.4	0.43	0.395	0.31	0.10223889350891113	4.992520332336426	0.03298687934875488	0.03422665596008301
gaussian	HH4	511	0.64	0.33	0.635	0.6	0.5140941518298624	0.25595351862199617	0.49749229435145825	0.4538442571477456	0.64	0.33	0.635	0.6	0.1153867244720459	6.5815558433532715	0.0322260856628418	0.03318929672241211
gaussian	HH4	512	0.685	0.305	0.575	0.615	0.6728874436699076	0.2975629227555654	0.5010652972738747	0.5579469228384598	0.685	0.305	0.575	0.615	0.11459970474243164	6.76081657409668	0.03271055221557617	0.0361170768737793
gaussian	HH4	513	0.525	0.355	0.48	0.525	0.40784295311038665	0.3153832558830429	0.3356622829520337	0.38514866526787817	0.525	0.355	0.48	0.525	0.11600685119628906	7.285267114639282	0.03310728073120117	0.03436613082885742
gaussian	HH4	514	0.66	0.435	0.565	0.605	0.5301399631409762	0.38871472102334403	0.41135377865313427	0.431079057483043	0.66	0.435	0.565	0.605	0.11357712745666504	5.849701881408691	0.03235507011413574	0.03539562225341797
gaussian	HH4	515	0.615	0.395	0.63	0.635	0.3639927790712763	0.2718042986425339	0.36508692709589774	0.35710857786122674	0.615	0.395	0.63	0.635	0.11379766464233398	5.803420305252075	0.03256630897521973	0.03477811813354492
gaussian	HH4	516	0.765	0.605	0.755	0.755	0.5700952245757489	0.42465844439911143	0.5607725651432958	0.5718004564826049	0.765	0.605	0.755	0.755	0.11365532875061035	4.993210792541504	0.032692909240722656	0.034337759017944336
gaussian	HH4	517	0.585	0.365	0.615	0.63	0.4354291899607209	0.2970748788068574	0.4276089663313102	0.4886356197481492	0.585	0.365	0.615	0.63	0.11574053764343262	6.346364974975586	0.032111406326293945	0.03386712074279785
gaussian	HH4	518	0.635	0.5	0.63	0.66	0.3131228491988999	0.32014948898412904	0.3028332166199813	0.3380692532979941	0.635	0.5	0.63	0.66	0.1161046028137207	5.990461349487305	0.034722328186035156	0.03581809997558594
gaussian	HH4	519	0.55	0.365	0.5	0.53	0.4618074752492561	0.3059341073722468	0.3811545240893067	0.37643914124661026	0.55	0.365	0.5	0.53	0.11327719688415527	6.409998893737793	0.03316807746887207	0.17237448692321777
gaussian	HH4	520	0.615	0.365	0.615	0.63	0.44303615597264656	0.37965696298109136	0.4339190572189708	0.47887428242213725	0.615	0.365	0.615	0.63	0.11382246017456055	7.246463298797607	0.03331732749938965	0.03359246253967285
gaussian	HH4	521	0.635	0.515	0.665	0.62	0.4102196007991894	0.3935796285577223	0.4310330513784461	0.3827746071779811	0.635	0.515	0.665	0.62	0.11277246475219727	6.112846374511719	0.03234219551086426	0.03591775894165039
gaussian	HH4	522	0.515	0.285	0.45	0.455	0.4179603630832444	0.26358068805453344	0.3531012238013207	0.360907057309801	0.515	0.285	0.45	0.455	0.1150655746459961	7.253459215164185	0.033467769622802734	0.03384852409362793
gaussian	HH4	523	0.535	0.345	0.52	0.49	0.4581411181862871	0.31909484594126036	0.40100645549211156	0.35411442768477297	0.535	0.345	0.52	0.49	0.1112966537475586	6.647467136383057	0.032171010971069336	0.034889936447143555
gaussian	HH4	524	0.615	0.29	0.59	0.605	0.43603468923801403	0.2587688954937017	0.4011498024549807	0.4155728518899875	0.615	0.29	0.59	0.605	0.11435532569885254	6.912855625152588	0.03255915641784668	0.034806251525878906
gaussian	HH4	525	0.495	0.325	0.455	0.47	0.26661238648338625	0.29602994962584	0.26229126335982533	0.2534595322381352	0.495	0.325	0.455	0.47	0.11370468139648438	6.914540529251099	0.03253793716430664	0.0370790958404541
gaussian	HH4	526	0.635	0.445	0.62	0.66	0.4070426433796973	0.33098822382752363	0.4119631325577769	0.42328869642311423	0.635	0.445	0.62	0.66	0.1138765811920166	6.009338855743408	0.03312397003173828	0.03505706787109375
gaussian	HH4	527	0.62	0.425	0.605	0.55	0.4551965323933522	0.3652439486791844	0.4215420693033206	0.3705496766710097	0.62	0.425	0.605	0.55	0.11449837684631348	7.060461044311523	0.032048702239990234	0.03429222106933594
gaussian	HH4	528	0.515	0.385	0.5	0.51	0.4029913336053468	0.36131504294212896	0.3599625255507608	0.33605997126337084	0.515	0.385	0.5	0.51	0.11406850814819336	7.375943422317505	0.03354978561401367	0.03522086143493652
gaussian	HH4	529	0.52	0.35	0.465	0.45	0.3218561487855355	0.28787527202069196	0.2925086862069996	0.24961080586080586	0.52	0.35	0.465	0.45	0.11471176147460938	6.920282363891602	0.03204965591430664	0.03452038764953613
gaussian	HH4	530	0.575	0.4	0.55	0.53	0.3503090299125498	0.278276862026862	0.2917780908525635	0.28122920151817676	0.575	0.4	0.55	0.53	0.11441850662231445	6.161247730255127	0.032941579818725586	0.034560203552246094
gaussian	HH4	531	0.705	0.55	0.67	0.735	0.45769590322027903	0.4800340213173474	0.4411854273376676	0.48010847051385486	0.705	0.55	0.67	0.735	0.1178128719329834	5.470755577087402	0.03318166732788086	0.03433108329772949
gaussian	HH4	532	0.56	0.34	0.56	0.575	0.4168782339092122	0.28921281124893733	0.4194812572689753	0.44019360269360264	0.56	0.34	0.56	0.575	0.11364388465881348	6.863828182220459	0.03251004219055176	0.035158634185791016
gaussian	HH4	533	0.53	0.4	0.565	0.555	0.2771824751344927	0.30861130417883575	0.29328309305373523	0.2848671174263624	0.53	0.4	0.565	0.555	0.11470770835876465	6.73457407951355	0.03232455253601074	0.034215688705444336
gaussian	HH4	534	0.57	0.405	0.53	0.58	0.337873757222552	0.3396793835383612	0.34988701386202026	0.385091344923666	0.57	0.405	0.53	0.58	0.11621904373168945	6.107632875442505	0.03451418876647949	0.03464174270629883
