dataset	signature	seed	product_rf_f1-micro	sklearn_rf_f1-micro	product_rf_f1-macro	sklearn_rf_f1-macro	product_rf_accuracy	sklearn_rf_accuracy	product_rf_time	sklearn_rf_time
gaussian	HH4	154	0.365	0.385	0.13108407079646017	0.16576064186358302	0.365	0.385	0.3555934429168701	0.031954050064086914
gaussian	HH4	155	0.25	0.315	0.12447667187452133	0.17727412084652758	0.25	0.315	0.3492574691772461	0.03257155418395996
gaussian	HH4	156	0.285	0.315	0.20112820111615293	0.2813025752199839	0.285	0.315	0.3616313934326172	0.031949520111083984
gaussian	HH4	157	0.26	0.305	0.13997972739820566	0.20406001761526812	0.26	0.305	0.32413554191589355	0.03240060806274414
gaussian	HH4	158	0.35	0.39	0.19526403092402667	0.2577109767269342	0.35	0.39	0.34464454650878906	0.032369375228881836
gaussian	HH4	159	0.295	0.335	0.19284538221578748	0.23580472265180008	0.295	0.335	0.34052252769470215	0.032419681549072266
gaussian	HH4	160	0.275	0.28	0.17438963471755525	0.25680533101081504	0.275	0.28	0.3484025001525879	0.032178401947021484
gaussian	SS4	161	0.38	0.42	0.3021313589990292	0.3497197247197247	0.38	0.42	0.4189152717590332	0.16114115715026855
gaussian	SS4	162	0.36	0.36	0.349799095338823	0.32446524064171123	0.36	0.36	0.416337251663208	0.03242969512939453
gaussian	SS4	163	0.325	0.32	0.25823906127116725	0.23522738053383782	0.325	0.32	0.4315981864929199	0.03228139877319336
gaussian	SS4	164	0.41	0.395	0.25932996553884713	0.2708129713229426	0.41	0.395	0.38897204399108887	0.033116817474365234
gaussian	SS4	165	0.37	0.38	0.2760275435037899	0.24347633426732876	0.37	0.38	0.4272189140319824	0.03176116943359375
gaussian	SS4	166	0.29	0.295	0.20616619284740528	0.1956482418691721	0.29	0.295	0.38570475578308105	0.033672332763671875
gaussian	SS4	167	0.38	0.38	0.30676448857381394	0.32224653057476393	0.38	0.38	0.4316425323486328	0.03415203094482422
gaussian	SS4	168	0.33	0.4	0.3188352998798707	0.38685377847429725	0.33	0.4	0.4356396198272705	0.03286576271057129
gaussian	SS4	169	0.34	0.325	0.2388219465252927	0.22286897130647132	0.34	0.325	0.4109630584716797	0.03370070457458496
gaussian	SS4	170	0.34	0.36	0.20680186042028145	0.26635865272004744	0.34	0.36	0.40208888053894043	0.032156944274902344
gaussian	HS4	171	0.35	0.37	0.23619773303922809	0.256189167493702	0.35	0.37	0.3414597511291504	0.03205466270446777
gaussian	HS4	172	0.305	0.41	0.18652131129802865	0.2873297596036814	0.305	0.41	0.36592531204223633	0.032811880111694336
gaussian	HS4	173	0.315	0.325	0.21869438695699472	0.21932180727249656	0.315	0.325	0.3386063575744629	0.03568530082702637
gaussian	HS4	174	0.34	0.36	0.25769607686490054	0.29864455386393673	0.34	0.36	0.36843323707580566	0.03329634666442871
gaussian	HS4	175	0.33	0.34	0.2433294825616546	0.2638656757700861	0.33	0.34	0.3674306869506836	0.03278946876525879
gaussian	HS4	176	0.405	0.415	0.36323879016511107	0.3733839527591266	0.405	0.415	0.3699173927307129	0.03397655487060547
gaussian	HS4	177	0.345	0.365	0.2219479405034325	0.2621892560916951	0.345	0.365	0.3598332405090332	0.032053232192993164
gaussian	HS4	178	0.315	0.32	0.1828479459490932	0.22048013936462485	0.315	0.32	0.35901737213134766	0.032715797424316406
gaussian	HS4	179	0.315	0.36	0.1682574074622592	0.21493001050788943	0.315	0.36	0.32285618782043457	0.03177762031555176
gaussian	HS4	180	0.27	0.32	0.14895842024643008	0.2157311724433034	0.27	0.32	0.3647754192352295	0.03238224983215332
