signature	seed	sklearn_dt_rmse	sklearn_dt_time	sklearn_rf_rmse	sklearn_rf_time	product_dt_rmse	product_dt_time	product_rf_rmse	product_rf_time	tangent_dt_rmse	tangent_dt_time	tangent_rf_rmse	tangent_rf_time	knn_rmse	knn_time	tangent_mlp_rmse	tangent_mlp_time	ambient_mlp_rmse	ambient_mlp_time	tangent_gnn_rmse	tangent_gnn_time	ambient_gnn_rmse	ambient_gnn_time
SE	46	0.16134632710508057	0.0013318061828613281	0.15340598785212203	0.01578521728515625	0.16239995	0.010610580444335938	0.1538022	0.11023354530334473	0.15748849778868154	0.0011241436004638672	0.1505065344394289	0.015793800354003906	0.15627204	0.002879619598388672	0.33214298	0.7684264183044434	0.16641197	0.8015851974487305	0.21547106	5.196841716766357	0.3911905	5.198710918426514
SE	47	0.17002225770779847	0.00128936767578125	0.1711265437116566	0.015788555145263672	0.17406772	0.01024317741394043	0.1687451	0.10879039764404297	0.17119539653625065	0.0011224746704101562	0.16922845353089638	0.0158693790435791	0.18009564	0.002999544143676758	0.34404343	0.7605304718017578	0.1736593	0.7856380939483643	0.25799152	5.212159872055054	0.41733277	5.204508543014526
SE	48	0.18075816996892516	0.0013155937194824219	0.1734848547934511	0.015688657760620117	0.18745105	0.009834051132202148	0.17698768	0.1018686294555664	0.17580082551792856	0.0011515617370605469	0.17446775095565506	0.015742063522338867	0.17285183	0.0029070377349853516	0.31292415	0.7656917572021484	0.18601702	0.7928037643432617	0.33165085	5.1959593296051025	0.5096441	5.190865993499756
SE	49	0.22821931254416739	0.0012917518615722656	0.22725348642712362	0.015690326690673828	0.23770194	0.010030746459960938	0.22434162	0.10601282119750977	0.23829991794837813	0.0010991096496582031	0.22671451404840917	0.01575636863708496	0.23256485	0.0030426979064941406	0.345046	0.757347583770752	0.23159021	0.7938587665557861	0.2369324	5.183947801589966	0.2537558	5.1844964027404785
H	50	0.19480366762212734	0.0012929439544677734	0.1911634671341102	0.01569342613220215	0.19533277	0.01279139518737793	0.18227327	0.11361265182495117	0.1879681758485326	0.0011360645294189453	0.1834590652918109	0.015811681747436523	0.1733971	0.0026161670684814453	0.27750012	0.7786190509796143	0.19523625	0.8050758838653564	0.3357401	5.196655035018921	11.712813	5.186747789382935
H	51	0.17334627489327128	0.0012967586517333984	0.16920354490284417	0.015910863876342773	0.17879516	0.012064695358276367	0.16881911	0.11679387092590332	0.17876074759202293	0.001119852066040039	0.17246664510634077	0.01578974723815918	0.17724955	0.0027043819427490234	0.33909124	0.8056812286376953	0.24450535	0.8457736968994141	0.47232562	5.189157962799072	31.831566	5.189823627471924
H	52	0.18857805396584879	0.0012743473052978516	0.19009978710234096	0.015670299530029297	0.19050345	0.012906789779663086	0.1828375	0.11581826210021973	0.19127693371150536	0.0010271072387695312	0.18312430620216566	0.015403985977172852	0.1640868	0.002584695816040039	0.26836988	0.7650651931762695	0.21386544	0.7871794700622559	1.2141123	5.201841592788696	37.257973	5.18436336517334
H	53	0.2123038529857698	0.0013561248779296875	0.20510350994280815	0.01571059226989746	0.2019518	0.012270212173461914	0.20021458	0.11737370491027832	0.21200836411013865	0.0011141300201416016	0.20205199029916496	0.015692710876464844	0.1893346	0.0026776790618896484	0.27628046	0.7718782424926758	0.20727028	0.7960124015808105	0.41750833	5.19281792640686	2.656355	5.180882930755615
H	54	0.18520041429771653	0.0013167858123779297	0.18481300573711348	0.015933513641357422	0.1811861	0.01199650764465332	0.18242681	0.11917376518249512	0.18599201381962527	0.0011219978332519531	0.18080425021915958	0.01574397087097168	0.17207548	0.0029697418212890625	0.30276632	0.7741274833679199	0.1961422	0.8383591175079346	0.6785225	5.196814298629761	11.039641	5.196576833724976
H	55	0.1814379131141501	0.0013239383697509766	0.17309580614788658	0.015942096710205078	0.18186913	0.011336088180541992	0.17115499	0.11864709854125977	0.18331053525651853	0.0011262893676757812	0.17313041481434444	0.015963077545166016	0.16429783	0.002719402313232422	0.39909154	0.7684786319732666	0.19496384	0.8144159317016602	0.63773865	5.189062833786011	30.496368	5.188353538513184
H	56	0.2191421524536295	0.00141143798828125	0.21255915956420296	0.01600480079650879	0.21611401	0.01459646224975586	0.2042105	0.1146552562713623	0.21408820506857704	0.0011622905731201172	0.20958515158338314	0.01581096649169922	0.20766252	0.002736806869506836	0.3222897	0.7665629386901855	0.22218458	0.801621675491333	0.3088655	5.189509630203247	4.0869575	5.186569690704346
H	57	0.21369830036893045	0.0012753009796142578	0.20284234617727467	0.015940189361572266	0.2097658	0.011655807495117188	0.19898975	0.11380910873413086	0.20777978396264263	0.0010936260223388672	0.2011575983341607	0.015613794326782227	0.20988944	0.002712249755859375	0.3514953	0.7721803188323975	0.2801171	0.8081333637237549	1.0289105	5.197404146194458	49.251556	5.197980880737305
H	58	0.20257207014747206	0.0013134479522705078	0.20462738369366765	0.01575303077697754	0.2026119	0.013371706008911133	0.19160682	0.11642146110534668	0.20666124815959294	0.0011205673217773438	0.194455730846384	0.015912532806396484	0.21311513	0.0028200149536132812	0.3356704	0.7581305503845215	0.22154625	0.8151326179504395	1.683106	5.195914268493652	90.266914	5.187646865844727
H	59	0.18313232195019716	0.0012981891632080078	0.17594339591528727	0.015836715698242188	0.17252712	0.013173580169677734	0.16860612	0.11068892478942871	0.1739651895171902	0.0011243820190429688	0.16902054292124652	0.015917062759399414	0.17128195	0.002897500991821289	0.34009016	0.7917923927307129	0.30374867	0.8076961040496826	0.6471179	5.185958385467529	32.111084	5.177957534790039
E	60	0.19909645159367464	0.0011544227600097656	0.19619534531438576	0.015857219696044922	0.19501415	0.01137542724609375	0.19495259	0.11135697364807129	0.19909645159367464	0.001134634017944336	0.19619534531438576	0.015974044799804688	0.197537	0.002525806427001953	0.4052778	0.7698326110839844	0.20076112	0.799882173538208	0.39992878	5.196535348892212	0.39992872	5.198346376419067
E	61	0.19865117998406484	0.0011587142944335938	0.18759440925490187	0.015935659408569336	0.1978243	0.011597871780395508	0.18387477	0.11349844932556152	0.19865117998406484	0.0012705326080322266	0.18759440925490187	0.015665054321289062	0.20205815	0.0027489662170410156	0.3752401	0.7584242820739746	0.1976616	0.8065717220306396	0.23309639	5.189596176147461	0.23309642	5.19463849067688
E	62	0.22927028763863672	0.0011527538299560547	0.2224189084273794	0.015877723693847656	0.21932285	0.011615514755249023	0.21385969	0.1139531135559082	0.22927028763863672	0.0010993480682373047	0.22241890842737944	0.015869855880737305	0.22727293	0.0024061203002929688	0.4030477	0.7799201011657715	0.22220746	0.8094577789306641	0.3032165	5.200538396835327	0.3032165	5.201154708862305
E	63	0.19692585521539538	0.0011391639709472656	0.1961915323312781	0.015808820724487305	0.19783546	0.011283397674560547	0.19603442	0.1124417781829834	0.19692585521539538	0.0010876655578613281	0.1961915323312781	0.015537500381469727	0.19394514	0.002337217330932617	0.30588603	0.7760508060455322	0.19230309	0.7995345592498779	0.2551903	5.195724964141846	0.25519028	5.199579238891602
