curvature	seed	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_gnn_f1-micro	tangent_gnn_accuracy	tangent_gnn_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time
0.25	66	0.215	0.215	0.009200334548950195	0.285	0.285	0.10367345809936523	0.2	0.2	0.7294526100158691	0.24	0.24	0.753976583480835	0.315	0.315	5.221696853637695	0.265	0.265	5.223881959915161
0.25	67	0.305	0.305	0.009049177169799805	0.35	0.35	0.10257244110107422	0.255	0.255	0.7295083999633789	0.245	0.245	0.7750225067138672	0.145	0.145	5.211386203765869	0.09	0.09	5.229333162307739
0.25	68	0.295	0.295	0.009221076965332031	0.305	0.305	0.10436391830444336	0.2	0.2	0.7271735668182373	0.26	0.26	0.755631685256958	0.27	0.27	5.219628810882568	0.2	0.2	5.2243382930755615
0.25	69	0.19	0.19	0.009586334228515625	0.235	0.235	0.10661149024963379	0.155	0.155	0.718754768371582	0.255	0.255	0.772207498550415	0.23	0.23	5.206303119659424	0.2	0.2	5.216192007064819
0.5	70	0.195	0.195	0.00908970832824707	0.275	0.275	0.10237836837768555	0.2	0.2	0.7349488735198975	0.26	0.26	0.7707741260528564	0.22	0.22	5.214340448379517	0.225	0.225	5.236542701721191
0.5	71	0.235	0.235	0.009233951568603516	0.28	0.28	0.10392260551452637	0.225	0.225	0.7417817115783691	0.26	0.26	0.7594687938690186	0.155	0.155	5.213058948516846	0.17	0.17	5.218534708023071
0.5	72	0.25	0.25	0.009156227111816406	0.24	0.24	0.10256457328796387	0.23	0.23	0.7607288360595703	0.29	0.29	0.7968206405639648	0.2	0.2	5.218413829803467	0.155	0.155	5.223234176635742
0.5	73	0.29	0.29	0.008979320526123047	0.33	0.33	0.10114669799804688	0.29	0.29	0.7246923446655273	0.305	0.305	0.7502000331878662	0.18	0.18	5.221632242202759	0.235	0.235	5.234814167022705
0.5	74	0.27	0.27	0.009070634841918945	0.29	0.29	0.10124564170837402	0.27	0.27	0.7453582286834717	0.275	0.275	0.7539691925048828	0.25	0.25	5.220277309417725	0.2	0.2	5.235142946243286
0.5	75	0.36	0.36	0.009102821350097656	0.415	0.415	0.10106825828552246	0.3	0.3	0.7291576862335205	0.295	0.295	0.7687075138092041	0.325	0.325	5.224806070327759	0.25	0.25	5.238109588623047
0.5	76	0.165	0.165	0.00990915298461914	0.27	0.27	0.10299444198608398	0.22	0.22	0.7313930988311768	0.275	0.275	0.7573626041412354	0.16	0.16	5.225348472595215	0.17	0.17	5.225981712341309
0.5	77	0.305	0.305	0.009251594543457031	0.38	0.38	0.10364723205566406	0.29	0.29	0.7238984107971191	0.32	0.32	0.7717893123626709	0.085	0.085	5.2172863483428955	0.125	0.125	5.230543613433838
0.5	78	0.185	0.185	0.009113311767578125	0.245	0.245	0.10202169418334961	0.18	0.18	0.7267029285430908	0.25	0.25	0.7651650905609131	0.085	0.085	5.210514783859253	0.085	0.085	5.227676153182983
0.5	79	0.265	0.265	0.009378671646118164	0.275	0.275	0.1066288948059082	0.205	0.205	0.7331023216247559	0.255	0.255	0.7663464546203613	0.17	0.17	5.21361517906189	0.18	0.18	5.222973108291626
1.0	80	0.205	0.205	0.00923466682434082	0.225	0.225	0.10371851921081543	0.175	0.175	0.7308049201965332	0.22	0.22	0.762864351272583	0.165	0.165	5.213724851608276	0.18	0.18	5.23354434967041
1.0	81	0.21	0.21	0.009194374084472656	0.245	0.245	0.10587811470031738	0.16	0.16	0.7513518333435059	0.245	0.245	0.7822868824005127	0.125	0.125	5.220635890960693	0.105	0.105	5.237259387969971
1.0	82	0.255	0.255	0.00922846794128418	0.315	0.315	0.10341715812683105	0.17	0.17	0.7441182136535645	0.25	0.25	0.7872693538665771	0.11	0.11	5.223654508590698	0.105	0.105	5.232130527496338
1.0	83	0.315	0.315	0.009185314178466797	0.31	0.31	0.1038503646850586	0.215	0.215	0.7402865886688232	0.295	0.295	0.7856760025024414	0.185	0.185	5.214510202407837	0.185	0.185	5.228289365768433
1.0	84	0.305	0.305	0.008929967880249023	0.37	0.37	0.09952306747436523	0.225	0.225	0.7261717319488525	0.3	0.3	0.7449817657470703	0.22	0.22	5.220529317855835	0.215	0.215	5.229161500930786
1.0	85	0.215	0.215	0.009001016616821289	0.335	0.335	0.10010242462158203	0.175	0.175	0.7203752994537354	0.295	0.295	0.7491841316223145	0.145	0.145	5.209420442581177	0.16	0.16	5.208225965499878
1.0	86	0.29	0.29	0.008901834487915039	0.305	0.305	0.10040092468261719	0.215	0.215	0.7397787570953369	0.32	0.32	0.7656996250152588	0.21	0.21	5.213358402252197	0.215	0.215	5.211412191390991
1.0	87	0.285	0.285	0.009089469909667969	0.26	0.26	0.1022946834564209	0.22	0.22	0.7440040111541748	0.275	0.275	0.7639486789703369	0.21	0.21	5.202031850814819	0.245	0.245	5.220853090286255
